page_id	text	label	Pattern Category
1012	FLASH SALE | LIMITED TIME ONLY Shop Now	1	False Urgency
158	Pillowcases & Shams	0	Not a Dark Pattern
108	Write a review	0	Not a Dark Pattern
1425	To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.	0	Not a Dark Pattern
1658	newsletter signup (privacy policy)	0	Not a Dark Pattern
975	In demand	1	False Urgency
1469	We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.	0	Not a Dark Pattern
1570	Hurry! Only 2 left in stock	1	False Urgency
1617	In Stock only 3 left	1	False Urgency
108	International Shipping Policy	0	Not a Dark Pattern
1333	Clothes, Shoes & Accessories	0	Not a Dark Pattern
1199	Hurry! Only 2 left	1	False Urgency
822	Primary Arms Scopes	0	Not a Dark Pattern
1264	ONLY 8 LEFT	1	False Urgency
1609	MoTrail	0	Not a Dark Pattern
776	LCD Ribbon Cables	0	Not a Dark Pattern
1779	READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?	0	Not a Dark Pattern
1739	OUR BEST SELLING GOGGLE	1	Interface Interference
98	1,142 people have added to cart recently	1	Disguised Advertisement
1438	Limited Availability	1	False Urgency
449	No thanks. I don't like free things...	1	Confirm Shaming
1667	read you will want to read -- Five Book Group Favourites * Sunday Post *	0	Not a Dark Pattern
212	Supply & Demand	0	Not a Dark Pattern
284	Michael in Pontiac, United States purchased a	1	Disguised Advertisement
1381	Bathroom Lighting	0	Not a Dark Pattern
822	Shop Optics >	0	Not a Dark Pattern
4	9 people are viewing this.	1	Disguised Advertisement
1082	894 Claimed! Hurry, only a few left!	1	False Urgency
255	77 PEOPLE LIKE THIS	1	Disguised Advertisement
833	Girls Trousers	0	Not a Dark Pattern
1009	Specs	0	Not a Dark Pattern
1073	4 items left	1	False Urgency
495	HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5	1	False Urgency
718	Offer ends in	1	False Urgency
25	Another babe in Alexandria, United States just ordered Flat Tummy Tea	1	Disguised Advertisement
276	Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago	1	Disguised Advertisement
819	More Info	0	Not a Dark Pattern
822	Daystate FAC Air Rifles	0	Not a Dark Pattern
4	Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.	0	Not a Dark Pattern
126	24 sold in last 24 hours.	1	Disguised Advertisement
1428	#CERTIFIED_FACE_MASKS	0	Not a Dark Pattern
1468	Shop the Look	0	Not a Dark Pattern
638	Kicks Remotes	0	Not a Dark Pattern
1414	Only 7 left in stock.	1	False Urgency
414	Whey Protein Isolate	0	Not a Dark Pattern
1736	Cases for Magsafe Refine by Product Type: Cases for Magsafe	0	Not a Dark Pattern
414	Product Info	0	Not a Dark Pattern
35	Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF	1	Disguised Advertisement
395	Sign In With Google	0	Not a Dark Pattern
203	Shop All	0	Not a Dark Pattern
1119	You can change your preference here Shop for Select an age	0	Not a Dark Pattern
1656	1 in Stock	1	False Urgency
1405	Low Stock Alert: Only 8 left in inventory	1	False Urgency
1536	Womens Platform Shoes	0	Not a Dark Pattern
767	Screen print graphics	0	Not a Dark Pattern
149	IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago	1	Disguised Advertisement
395	Thin and tough - protects from minor scratches	0	Not a Dark Pattern
361	Kimberly R.	0	Not a Dark Pattern
432	I don't feel lucky	1	Interface Interference
1673	Only 3 items left	1	False Urgency
680	Butterscotch Cakes	0	Not a Dark Pattern
146	Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base	1	Disguised Advertisement
662	Awntech New Yorker Window/Entry Slope Awnin ...	0	Not a Dark Pattern
214	45 ADDED TO BAG IN THE PAST 24 HOURS	1	Disguised Advertisement
1147	87% offers claimed. Hurry up!	1	False Urgency
1031	HURRY! £32.99 UK DELIVERY ENDS SOON	1	False Urgency
1289	ONLY 3 LEFT	1	False Urgency
1386	8 items left	1	False Urgency
137	19 people viewed this product per day	1	Disguised Advertisement
1630	Irwin	0	Not a Dark Pattern
1102	96 ITEM(S) LEFT IN STOCK!	1	False Urgency
117	__________	0	Not a Dark Pattern
1138	Only 1 left In Stock	1	False Urgency
1536	Availability: Only 4 Left!	1	False Urgency
680	Personalised Gifts	0	Not a Dark Pattern
1405	A customer service specialist will contact you soon.	0	Not a Dark Pattern
521	Your order is reserved for 09:54 minutes!	1	False Urgency
1630	Screws & Other Fixings	0	Not a Dark Pattern
66	Use the domain shortly after payment	0	Not a Dark Pattern
1459	Office Supplies & Decor	0	Not a Dark Pattern
1531	This size has only 1 left in stock	1	False Urgency
1468	Arrow	0	Not a Dark Pattern
1044	Returns an Item	0	Not a Dark Pattern
157	HOT PRODUCT Over 250 people are looking at this item.	1	Disguised Advertisement
478	I don't want to save money	1	Confirm Shaming
230	Hair type: Curly	0	Not a Dark Pattern
745	DEAL ENDS IN 40:55:13	1	False Urgency
216	Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS	1	Disguised Advertisement
1171	Only 1 Left	1	False Urgency
198	Search for similiar products	0	Not a Dark Pattern
1250	Only 33 left	1	False Urgency
991	FAMILY SHADE PACK | PICK YOUR PACK	0	Not a Dark Pattern
638	Promaster City Remotes	0	Not a Dark Pattern
1217	Hurry, only a few left!	1	False Urgency
1509	V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for.	0	Not a Dark Pattern
1115	Only 11 left!	1	False Urgency
1404	Hurry! Only 6 left in stock	1	False Urgency
213	40 users are currently active on our website just now.	1	Disguised Advertisement
230	Hair Tools	0	Not a Dark Pattern
1429	Email Address*	0	Not a Dark Pattern
1779	Send Us Your Jersey	0	Not a Dark Pattern
1468	View All Home Office Furniture	0	Not a Dark Pattern
1425	Search Result:Search Results:	0	Not a Dark Pattern
1142	90% offers claimed. Hurry up!	1	False Urgency
1536	Tube Tops	0	Not a Dark Pattern
21	"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace"	1	Disguised Advertisement
230	Hair type: Wavy	0	Not a Dark Pattern
215	7 people looked at this product in the last 24 hours.	1	Disguised Advertisement
527	Glow Gear	0	Not a Dark Pattern
1292	18 In Stock	1	False Urgency
171	Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.	1	Disguised Advertisement
668	00:15:07:45	1	False Urgency
315	No, I'll rather pay full price.	1	Trick Question
1464	Only 9 Left.	1	False Urgency
149	Deals of the Week	0	Not a Dark Pattern
1667	... It covers love and loss, friendship and pain through	0	Not a Dark Pattern
59	1 person is viewing this	1	Disguised Advertisement
510	Your order is reserved for 09:14 minutes!	1	False Urgency
680	Gift TypeFlowers, Cakes, Plants, etc.	0	Not a Dark Pattern
984	CAMILLA World	0	Not a Dark Pattern
714	Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading	0	Not a Dark Pattern
103	Fun Treat Tossing	0	Not a Dark Pattern
1024	Limited time remaining!	1	False Urgency
384	No thanks, I'll pay full price	1	Confirm Shaming
1434	Your shopping bag is empty...	0	Not a Dark Pattern
209	Trousers & Chinos	0	Not a Dark Pattern
1272	Only 5 item(s) left.	1	False Urgency
664	Chargers	0	Not a Dark Pattern
1652	(only 5 left)	1	False Urgency
113	Eyelashes	0	Not a Dark Pattern
66	Pick the price that matches your budget.	0	Not a Dark Pattern
212	Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!	0	Not a Dark Pattern
1468	Child Safety	0	Not a Dark Pattern
117	Cosmic Rainbow	0	Not a Dark Pattern
1488	NRA Annual Meetings & Exhibits	0	Not a Dark Pattern
1673	ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes	0	Not a Dark Pattern
1317	Moonstone Beads	0	Not a Dark Pattern
400	I'll Shop Without A Discount	1	Interface Interference
1477	Only 11 Left In Stock	1	False Urgency
1446	Netherlands Antilles USD	0	Not a Dark Pattern
414	Was this product description useful?YesNo	0	Not a Dark Pattern
765	Returns Information	0	Not a Dark Pattern
812	TiesToys & GamesTravelWatches	0	Not a Dark Pattern
130	Bought by 39 people in last few hours! HOT SELLER!	1	Disguised Advertisement
1381	Books and Stationery	0	Not a Dark Pattern
494	Your order is reserved for 08:48 minutes!	1	False Urgency
556	11 11 Hours: 00 22 Minutes: 3223 3223 Seconds	1	False Urgency
1550	Bioactive Custodians	0	Not a Dark Pattern
1330	Most-Hearted Styles Shop Now	0	Not a Dark Pattern
1723	Use a clean vase and clean water.	0	Not a Dark Pattern
1359	well, this is awkward.	0	Not a Dark Pattern
976	@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏	0	Not a Dark Pattern
1409	All Licensed	0	Not a Dark Pattern
133	Nursing chairs	0	Not a Dark Pattern
1247	Only 1 Item(s) left	1	False Urgency
583	Discount pending $10 OFF 00:30:00	1	False Urgency
149	Juniors' Shoes	0	Not a Dark Pattern
1016	Limited Time: $10 Off! Discount Reflected In Price!	1	False Urgency
1051	Switchers	0	Not a Dark Pattern
1158	Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy	0	Not a Dark Pattern
1466	Ribbons	0	Not a Dark Pattern
350	By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.	0	Not a Dark Pattern
229	IN 43 PEOPLE'S SHOPPING BAG	1	Disguised Advertisement
1317	Amethyst Beads	0	Not a Dark Pattern
300	Down Jackets	0	Not a Dark Pattern
502	Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS	1	False Urgency
86	BERNARD in Philadelphia, United States purchased a	1	Disguised Advertisement
368	NO THANKS, I DON’T MIND MISSING OUT	1	Confirm Shaming
1198	Hurry, only 1 left!	1	False Urgency
1575	Only 26 Left	1	False Urgency
178	7 sold in last 24 hours	1	Disguised Advertisement
569	Buy Wearables»	0	Not a Dark Pattern
771	LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS	1	False Urgency
907	Watercolour Brushes Toggle category Watercolour Brushes	0	Not a Dark Pattern
729	LightInTheBox 掲載記事	0	Not a Dark Pattern
108	Clear filter	0	Not a Dark Pattern
825	HURRY UP > 09H 42M 39S	1	False Urgency
1409	Sweats	0	Not a Dark Pattern
976	Q: Will this damage my hair?	0	Not a Dark Pattern
1330	Brandon Blackwood	0	Not a Dark Pattern
91	Someone in Sasebo, Japan just bought	1	Disguised Advertisement
125	80 Customers are considering this product right now.	1	Disguised Advertisement
159	88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS	1	Disguised Advertisement
1468	End Tables	0	Not a Dark Pattern
1235	ONLY 2 LEFT IN STOCK!	1	False Urgency
1123	Only few items left in stock	1	False Urgency
1535	Only 1.75 yards left in stock!	1	False Urgency
688	Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase	0	Not a Dark Pattern
267	71 people have purchased this item	1	Disguised Advertisement
1749	Subscribe & Save	1	Interface Interference
803	We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy	0	Not a Dark Pattern
79	Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States	1	Disguised Advertisement
8	Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet	1	Disguised Advertisement
509	00DAYS00HOURS14MINUTES21SECONDS	1	False Urgency
306	Great prices, professional customer services	0	Not a Dark Pattern
638	Carnival Remotes	0	Not a Dark Pattern
1659	Hurry! Only 1 left in size M!!	1	False Urgency
946	Items in your cart are in high demand.	1	False Urgency
1573	VIP Points!	0	Not a Dark Pattern
230	Root Touch Up + Brow Filler	0	Not a Dark Pattern
1639	Limited stock Only 2 left	1	False Urgency
1573	Looks like your cart is empty, let's fix that!	0	Not a Dark Pattern
1209	Over 500 left in stock	1	False Urgency
1630	Lasers	0	Not a Dark Pattern
264	Choose your payment day. View your schedule and select pay now.	0	Not a Dark Pattern
199	Hurry up! 6 people other than you have this product in their cart	1	Disguised Advertisement
