page_id	text	label	Pattern Category
ext_20000	Still thinking about that backpack? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20001	Enable push notifications to never miss a deal on coffee maker. [Maybe Later] [Allow]	1	Nagging
ext_20002	Turn on background refresh for live price drops on your yoga mat. [Later] [Enable]	1	Nagging
ext_20003	Enjoying the free version? Upgrade to IndiaMART Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20004	Still thinking about that smartwatch? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20005	Allow Croma to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20006	Enable push notifications to never miss a deal on sneakers. [Maybe Later] [Allow]	1	Nagging
ext_20007	Get the best experience — download the Amazon Prime Video app! [No, thanks] [Get App]	1	Nagging
ext_20008	Turn on background refresh for live price drops on your sneakers. [Later] [Enable]	1	Nagging
ext_20009	Add Amazon Prime Video to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20010	Join Paytm Money Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20011	Upgrade to Fitbit VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20012	Don't miss special deals! Turn on email alerts from Google Drive. [Maybe later] [Subscribe]	1	Nagging
ext_20013	Connect your contacts to find friends already on Tata CLiQ. [Not now] [Connect]	1	Nagging
ext_20014	Connect your contacts to find friends already on AJIO. [Not now] [Connect]	1	Nagging
ext_20015	Join Croma Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20016	We noticed location is off. Enable it to find Google Drive stores near you. [Close] [Enable]	1	Nagging
ext_20017	Enjoying the free version? Upgrade to Amazon Prime Video Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20018	Connect your contacts to find friends already on Reliance Smart Bazaar. [Not now] [Connect]	1	Nagging
ext_20019	Get the best experience — download the Meesho app! [No, thanks] [Get App]	1	Nagging
ext_20020	Upgrade to IndiaMART VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20021	We noticed location is off. Enable it to find Amazon stores near you. [Close] [Enable]	1	Nagging
ext_20022	Allow Google Drive to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20023	Connect your contacts to find friends already on Flipkart. [Not now] [Connect]	1	Nagging
ext_20024	Join MakeMyTrip Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20025	Add IndiaMART to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20026	Upgrade to Meesho VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20027	Add Hostinger to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20028	Rate Amazon 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20029	Allow Amazon Prime Video to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20030	Join Meesho Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20031	Enable push notifications to never miss a deal on yoga mat. [Maybe Later] [Allow]	1	Nagging
ext_20032	Connect your contacts to find friends already on Hostinger. [Not now] [Connect]	1	Nagging
ext_20033	Get the best experience — download the Fitbit app! [No, thanks] [Get App]	1	Nagging
ext_20034	Rate IndiaMART 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20035	Upgrade to Google Drive VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20036	Don't miss special deals! Turn on email alerts from Amazon. [Maybe later] [Subscribe]	1	Nagging
ext_20037	Enjoying the free version? Upgrade to Amazon Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20038	We noticed location is off. Enable it to find Amazon Prime Video stores near you. [Close] [Enable]	1	Nagging
ext_20039	Still thinking about that coffee maker? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20040	Allow AJIO to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20041	Add Fitbit to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20042	Enjoying the free version? Upgrade to MakeMyTrip Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20043	Still thinking about that yoga mat? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20044	Still thinking about that phone case? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20045	Rate Flipkart 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20046	Turn on background refresh for live price drops on your headphones. [Later] [Enable]	1	Nagging
ext_20047	Allow Reliance Smart Bazaar to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20048	Turn on background refresh for live price drops on your wallet. [Later] [Enable]	1	Nagging
ext_20049	Upgrade to MakeMyTrip VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20050	Enjoying the free version? Upgrade to Google Drive Premium today. [Upgrade] [Remind Me Later]	1	Nagging
