page_id,text,label,Pattern Category,clean_text,urgency_kw_count,scarcity_kw_count,shame_phrase_flag,cancel_diff_score,social_proof_flag,price_drip_flag,discount_claim_flag,neg_option_flag,exclamation_count,question_count,number_present,time_reference_flag
1012,FLASH SALE | LIMITED TIME ONLY Shop Now,1,False Urgency,flash sale limited time only shop now,2,0,0,0,0,0,0,0,0,0,0,0
158,Pillowcases & Shams,0,Not a Dark Pattern,pillowcase sham,0,0,0,0,0,0,0,0,0,0,0,0
108,Write a review,0,Not a Dark Pattern,write a review,0,0,0,0,0,0,0,0,0,0,0,0
1425,"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",0,Not a Dark Pattern,to start your return simply click on the following button and add your return detail once the form is filled you will receive an email with shipping instruction for how to ship the item to our warehouse,0,0,0,0,0,0,0,0,0,0,0,0
1658,newsletter signup (privacy policy),0,Not a Dark Pattern,newsletter signup privacy policy,0,0,0,0,0,0,0,0,0,0,0,0
975,In demand,1,False Urgency,in demand,0,0,0,0,0,0,0,0,0,0,0,0
1469,"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",0,Not a Dark Pattern,we can not guarantee door to door delivery for every customer buyer in remote area such a farm island mining camp small town or outoftowners etc may need to collect from their nearest freight depot,0,0,0,0,0,0,0,0,0,0,0,0
1570,Hurry! Only 2 left in stock,1,False Urgency,hurry ! only left in stock,1,1,0,0,0,0,0,0,1,0,1,0
1617,In Stock only 3 left,1,False Urgency,in stock only left,0,1,0,0,0,0,0,0,0,0,1,0
108,International Shipping Policy,0,Not a Dark Pattern,international shipping policy,0,0,0,0,0,0,0,0,0,0,0,0
1333,"Clothes, Shoes & Accessories",0,Not a Dark Pattern,clothes shoe accessory,0,0,0,0,0,0,0,0,0,0,0,0
1199,Hurry! Only 2 left,1,False Urgency,hurry ! only left,1,1,0,0,0,0,0,0,1,0,1,0
822,Primary Arms Scopes,0,Not a Dark Pattern,primary arm scope,0,0,0,0,0,0,0,0,0,0,0,0
1264,ONLY 8 LEFT,1,False Urgency,only left,0,1,0,0,0,0,0,0,0,0,1,0
1609,MoTrail,0,Not a Dark Pattern,motrail,0,0,0,0,0,0,0,0,0,0,0,0
776,LCD Ribbon Cables,0,Not a Dark Pattern,lcd ribbon cable,0,0,0,0,0,0,0,0,0,0,0,0
1779,READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,0,Not a Dark Pattern,ready for your next authentic nhl jersey ?,0,0,0,0,0,0,0,0,0,1,0,0
1739,OUR BEST SELLING GOGGLE,1,Interface Interference,our best selling goggle,0,0,0,0,0,0,0,0,0,0,0,0
98,"1,142 people have added to cart recently",1,Disguised Advertisement,people have added to cart recently,0,0,0,0,1,0,0,0,0,0,1,0
1438,Limited Availability,1,False Urgency,limited availability,0,0,0,0,0,0,0,0,0,0,0,0
449,No thanks. I don't like free things...,1,Confirm Shaming,no thanks i dont like free thing,0,0,1,0,0,0,0,0,0,0,0,0
1667,read you will want to read -- Five Book Group Favourites * Sunday Post *,0,Not a Dark Pattern,read you will want to read five book group favourite sunday post,0,0,0,0,0,0,0,0,0,0,0,1
212,Supply & Demand,0,Not a Dark Pattern,supply demand,0,0,0,0,0,0,0,0,0,0,0,0
284,"Michael in Pontiac, United States purchased a",1,Disguised Advertisement,michael in pontiac united state purchased a,0,0,0,0,1,0,0,0,0,0,0,0
1381,Bathroom Lighting,0,Not a Dark Pattern,bathroom lighting,0,0,0,0,0,0,0,0,0,0,0,0
822,Shop Optics >,0,Not a Dark Pattern,shop optic,0,0,0,0,0,0,0,0,0,0,0,0
4,9 people are viewing this.,1,Disguised Advertisement,people are viewing this,0,0,0,0,1,0,0,0,0,0,1,0
1082,"894 Claimed! Hurry, only a few left!",1,False Urgency,claimed ! hurry only a few left !,1,1,0,0,0,0,0,0,2,0,1,0
255,77 PEOPLE LIKE THIS,1,Disguised Advertisement,people like this,0,0,0,0,1,0,0,0,0,0,1,0
833,Girls Trousers,0,Not a Dark Pattern,girl trouser,0,0,0,0,0,0,0,0,0,0,0,0
